issue_type,code,description,current_value,suggested_fix,severity
price_total_mismatch,UXH010c…,"Solado losetas hormigón para uso exterior, panot, direccional (acanalada) 20x20x5, resistencia a flexión T, carga de rotura 3, resistencia al desgaste G, gris, para uso privado en exteriores en zona d","priceTotal=50.6700, sum(breakdown.price)=204.3300, diff_rel=75.20%","Revisar el ingest del item: o el priceTotal está mal asignado o falta(n) breakdown(s). Si la diferencia es intencional (margen/redondeos), documentar.",error
price_total_mismatch,UXH010c…,"Solado losetas hormigón para uso exterior, panot, podotáctil 16 tacos, 20x20x5, resistencia a flexión T, carga de rotura 3, resistencia al desgaste G, gris, para uso privado en exteriores en zona de p","priceTotal=50.6700, sum(breakdown.price)=204.3300, diff_rel=75.20%","Revisar el ingest del item: o el priceTotal está mal asignado o falta(n) breakdown(s). Si la diferencia es intencional (margen/redondeos), documentar.",error
price_total_mismatch,UXH010c…,"Solado losetas hormigón para uso exterior, panot, liso peatonal y trafico ligero, 20x20x5, resistencia a flexión T, carga de rotura 3, resistencia al desgaste G, gris, para uso privado en exteriores e","priceTotal=41.3100, sum(breakdown.price)=204.3300, diff_rel=79.78%","Revisar el ingest del item: o el priceTotal está mal asignado o falta(n) breakdown(s). Si la diferencia es intencional (margen/redondeos), documentar.",error
price_total_mismatch,UXH010c…,"Solado losetas hormigón para uso exterior, panot, liso trafico pesado, 20x20x7.5, gris, para uso privado en exteriores en zona de pasos de peatones, colocadas al tendido sobre capa de arena-cemento. N","priceTotal=61.6800, sum(breakdown.price)=204.3300, diff_rel=69.81%","Revisar el ingest del item: o el priceTotal está mal asignado o falta(n) breakdown(s). Si la diferencia es intencional (margen/redondeos), documentar.",error
duplicate_description,79500226,"Aplicación de coste de puesta en marcha de sistema de ventilación mecánica por parte de un técnico especializado. Incluye la comprobacion visual de la instalacion del sistema de ventilacion, equilibra",description normalizada idéntica a códigos: ['79500227'],"Verificar si son entradas duplicadas y fusionar; si son legítimamente distintas (variantes, libros), diferenciar la descripción.",warning
duplicate_description,79500227,"Aplicación de coste de puesta en marcha de sistema de ventilación mecánica por parte de un técnico especializado. Incluye la comprobacion visual de la instalacion del sistema de ventilacion, equilibra",description normalizada idéntica a códigos: ['79500226'],"Verificar si son entradas duplicadas y fusionar; si son legítimamente distintas (variantes, libros), diferenciar la descripción.",warning
duplicate_description,FBY010,"Suministro y montaje de tabique sencillo, de 78 mm de espesor total, con nivel de calidad del acabado estándar (Q2), sobre banda acústica, formado por una estructura simple de perfiles de chapa de ace",description normalizada idéntica a códigos: ['FBY010a'],"Verificar si son entradas duplicadas y fusionar; si son legítimamente distintas (variantes, libros), diferenciar la descripción.",warning
duplicate_description,FBY010a,"Suministro y montaje de tabique sencillo, de 78 mm de espesor total, con nivel de calidad del acabado estándar (Q2), sobre banda acústica, formado por una estructura simple de perfiles de chapa de ace",description normalizada idéntica a códigos: ['FBY010'],"Verificar si son entradas duplicadas y fusionar; si son legítimamente distintas (variantes, libros), diferenciar la descripción.",warning
item_without_breakdowns,IOS010,"Placa de señalización de equipos contra incendios, de PVC fotoluminiscente, con categoría de fotoluminiscencia A según UNE 23035-4, de 210x210 mm. Incluso elementos de fijación. Incluye: Replanteo. Fi","priceTotal=15.80, breakdowns=0","Verificar si el item tiene componentes en el JSON fuente y están siendo ingeridos. Si es una partida alzada legítima, marcarla con is_lump_sum=true.",warning
item_without_breakdowns,R00001,"Desplazamiento de laborante a obra, para toma de muestra, entre 20-40 Km del laboratorio.","priceTotal=29.81, breakdowns=0","Verificar si el item tiene componentes en el JSON fuente y están siendo ingeridos. Si es una partida alzada legítima, marcarla con is_lump_sum=true.",warning
item_without_breakdowns,R00023,"Desplazamiento de laborante a obra, para toma de muestra, a más de 40 Km del laboratorio.","priceTotal=43.69, breakdowns=0","Verificar si el item tiene componentes en el JSON fuente y están siendo ingeridos. Si es una partida alzada legítima, marcarla con is_lump_sum=true.",warning
item_without_breakdowns,R00024,Dersplazamiento de técnico especialista a obra en T.M. de Palma.,"priceTotal=36.49, breakdowns=0","Verificar si el item tiene componentes en el JSON fuente y están siendo ingeridos. Si es una partida alzada legítima, marcarla con is_lump_sum=true.",warning
item_without_breakdowns,R00025,Dersplazamiento de técnico especialista a obra fuera del T.M. de Palma.,"priceTotal=60.14, breakdowns=0","Verificar si el item tiene componentes en el JSON fuente y están siendo ingeridos. Si es una partida alzada legítima, marcarla con is_lump_sum=true.",warning
similar_description,06000085,Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 200 m3/h Preparado para la entrada de control ON / OFF y conexión BUS. Instalación en techo.I,Levenshtein=2 contra código 06000107: 'Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 150 m3/h Prep',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,06000085,Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 200 m3/h Preparado para la entrada de control ON / OFF y conexión BUS. Instalación en techo.I,Levenshtein=2 contra código 06000086: 'Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 350 m3/h Prep',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,06000085,Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 200 m3/h Preparado para la entrada de control ON / OFF y conexión BUS. Instalación en techo.I,Levenshtein=1 contra código 06000088: 'Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 500 m3/h Prep',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,06000086,Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 350 m3/h Preparado para la entrada de control ON / OFF y conexión BUS. Instalación en techo. ,Levenshtein=2 contra código 06000088: 'Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 500 m3/h Prep',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,06000107,Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 150 m3/h Preparado para la entrada de control ON / OFF y conexión BUS. Instalación en techo. ,Levenshtein=1 contra código 06000086: 'Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 350 m3/h Prep',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,06000107,Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 150 m3/h Preparado para la entrada de control ON / OFF y conexión BUS. Instalación en techo. ,Levenshtein=2 contra código 06000088: 'Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 500 m3/h Prep',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,471224655,"Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador entálpico, de 255 m3/h Caudal de aire maximo 255m3/h Unidad con By-pass free-co",Levenshtein=2 contra código 471502117: 'Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,471224655,"Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador entálpico, de 255 m3/h Caudal de aire maximo 255m3/h Unidad con By-pass free-co",Levenshtein=2 contra código 471502119: 'Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,471224655,"Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador entálpico, de 255 m3/h Caudal de aire maximo 255m3/h Unidad con By-pass free-co",Levenshtein=3 contra código 471502121: 'Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
