issue_type,code,description,current_value,suggested_fix,severity
duplicate_description,79500226,"Aplicación de coste de puesta en marcha de sistema de ventilación mecánica por parte de un técnico especializado. Incluye la comprobacion visual de la instalacion del sistema de ventilacion, equilibra",description normalizada idéntica a códigos: ['79500227'],"Verificar si son entradas duplicadas y fusionar; si son legítimamente distintas (variantes, libros), diferenciar la descripción.",warning
duplicate_description,79500227,"Aplicación de coste de puesta en marcha de sistema de ventilación mecánica por parte de un técnico especializado. Incluye la comprobacion visual de la instalacion del sistema de ventilacion, equilibra",description normalizada idéntica a códigos: ['79500226'],"Verificar si son entradas duplicadas y fusionar; si son legítimamente distintas (variantes, libros), diferenciar la descripción.",warning
duplicate_description,FBY010,"Suministro y montaje de tabique sencillo, de 78 mm de espesor total, con nivel de calidad del acabado estándar (Q2), sobre banda acústica, formado por una estructura simple de perfiles de chapa de ace",description normalizada idéntica a códigos: ['FBY010a'],"Verificar si son entradas duplicadas y fusionar; si son legítimamente distintas (variantes, libros), diferenciar la descripción.",warning
duplicate_description,FBY010a,"Suministro y montaje de tabique sencillo, de 78 mm de espesor total, con nivel de calidad del acabado estándar (Q2), sobre banda acústica, formado por una estructura simple de perfiles de chapa de ace",description normalizada idéntica a códigos: ['FBY010'],"Verificar si son entradas duplicadas y fusionar; si son legítimamente distintas (variantes, libros), diferenciar la descripción.",warning
item_without_breakdowns,IOS010,"Placa de señalización de equipos contra incendios, de PVC fotoluminiscente, con categoría de fotoluminiscencia A según UNE 23035-4, de 210x210 mm. Incluso elementos de fijación. Incluye: Replanteo. Fi","priceTotal=15.80, breakdowns=0","Verificar si el item tiene componentes en el JSON fuente y están siendo ingeridos. Si es una partida alzada legítima, marcarla con is_lump_sum=true.",warning
item_without_breakdowns,R00001,"Desplazamiento de laborante a obra, para toma de muestra, entre 20-40 Km del laboratorio.","priceTotal=29.81, breakdowns=0","Verificar si el item tiene componentes en el JSON fuente y están siendo ingeridos. Si es una partida alzada legítima, marcarla con is_lump_sum=true.",warning
item_without_breakdowns,R00023,"Desplazamiento de laborante a obra, para toma de muestra, a más de 40 Km del laboratorio.","priceTotal=43.69, breakdowns=0","Verificar si el item tiene componentes en el JSON fuente y están siendo ingeridos. Si es una partida alzada legítima, marcarla con is_lump_sum=true.",warning
item_without_breakdowns,R00024,Dersplazamiento de técnico especialista a obra en T.M. de Palma.,"priceTotal=36.49, breakdowns=0","Verificar si el item tiene componentes en el JSON fuente y están siendo ingeridos. Si es una partida alzada legítima, marcarla con is_lump_sum=true.",warning
item_without_breakdowns,R00025,Dersplazamiento de técnico especialista a obra fuera del T.M. de Palma.,"priceTotal=60.14, breakdowns=0","Verificar si el item tiene componentes en el JSON fuente y están siendo ingeridos. Si es una partida alzada legítima, marcarla con is_lump_sum=true.",warning
similar_description,06000085,Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 200 m3/h Preparado para la entrada de control ON / OFF y conexión BUS. Instalación en techo.I,Levenshtein=2 contra código 06000086: 'Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 350 m3/h Prep',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,06000085,Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 200 m3/h Preparado para la entrada de control ON / OFF y conexión BUS. Instalación en techo.I,Levenshtein=1 contra código 06000088: 'Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 500 m3/h Prep',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,06000085,Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 200 m3/h Preparado para la entrada de control ON / OFF y conexión BUS. Instalación en techo.I,Levenshtein=2 contra código 06000107: 'Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 150 m3/h Prep',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,06000086,Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 350 m3/h Preparado para la entrada de control ON / OFF y conexión BUS. Instalación en techo. ,Levenshtein=2 contra código 06000088: 'Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 500 m3/h Prep',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,06000086,Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 350 m3/h Preparado para la entrada de control ON / OFF y conexión BUS. Instalación en techo. ,Levenshtein=1 contra código 06000107: 'Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 150 m3/h Prep',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,06000088,Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 500 m3/h Preparado para la entrada de control ON / OFF y conexión BUS. Instalación en techo. ,Levenshtein=2 contra código 06000107: 'Batería deshumidificadora isotérmica con post-calentamiento y pos-enfriamiento con flujo de aire máximo de 150 m3/h Prep',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,471224655,"Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador entálpico, de 255 m3/h Caudal de aire maximo 255m3/h Unidad con By-pass free-co",Levenshtein=2 contra código 471502117: 'Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,471224655,"Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador entálpico, de 255 m3/h Caudal de aire maximo 255m3/h Unidad con By-pass free-co",Levenshtein=2 contra código 471502119: 'Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,471224655,"Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador entálpico, de 255 m3/h Caudal de aire maximo 255m3/h Unidad con By-pass free-co",Levenshtein=3 contra código 471502121: 'Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,471502117,"Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador entálpico, de 350 m3/h Caudal de aire maximo 255m3/h Unidad con By-pass free-co",Levenshtein=1 contra código 471502119: 'Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,471502117,"Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador entálpico, de 350 m3/h Caudal de aire maximo 255m3/h Unidad con By-pass free-co",Levenshtein=2 contra código 471502121: 'Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,471502119,"Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador entálpico, de 450 m3/h Caudal de aire maximo 255m3/h Unidad con By-pass free-co",Levenshtein=2 contra código 471502121: 'Suministro e instalación de recuperador de calor doble flujo a contracorriente de altísima eficiencia con intercambiador',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320026,Suministro y colocación de kit de regulación de caudal para conducto flexible redondo de 75 mm.,Levenshtein=2 contra código 990320027: 'Suministro y colocación de kit de regulación de caudal para conducto flexible redondo de 90 mm.',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320529,"Suministro y colocación de plénum de ventilación para 2 conductos de 90 mm de impulsion o retorno, caudal de aire recomendado de 100 m3/h a velocidad de 3 m/s. Boca registrable para su limpieza. Tapa ","Levenshtein=3 contra código 990320545: 'Suministro y colocación de plénum de ventilación para 3 conductos de 90 mm de impulsion o retorno, caudal de aire recome'",Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320533,"Suministro y colocación de plénum de ventilación para 3 conductos de 75 mm de impulsion o retorno, caudal de aire recomendado de 90 m3/h a velocidad de 3 m/s. Boca registrable para su limpieza. Tapa d","Levenshtein=3 contra código 990320534: 'Suministro y colocación de plénum de ventilación para 2 conductos de 75 mm de impulsion o retorno, caudal de aire recome'",Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320641,Suministro y colocación de rejilla rectangular 260 x 160 mm color blanco o inox.,Levenshtein=2 contra código 990320647: 'Suministro y colocación de rejilla rectangular 430 x 160 mm color blanco o inox.',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320811,"Suministro y colocación de plénum de ventilación para conducto de 75 mm de impulsion o retorno, caudal de aire recomendado de 30 m3/h a velocidad de 3 m/s. Boca registrable para su limpieza. Tapa dese","Levenshtein=2 contra código 990320814: 'Suministro y colocación de plénum de ventilación para conducto de 75 mm de impulsion o retorno, caudal de aire recomenda'",Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320811,"Suministro y colocación de plénum de ventilación para conducto de 75 mm de impulsion o retorno, caudal de aire recomendado de 30 m3/h a velocidad de 3 m/s. Boca registrable para su limpieza. Tapa dese","Levenshtein=3 contra código 990320849: 'Suministro y colocación de plénum de ventilación para conducto de 75 mm de impulsion o retorno, caudal de aire recomenda'",Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320814,"Suministro y colocación de plénum de ventilación para conducto de 75 mm de impulsion o retorno, caudal de aire recomendado de 30 m3/h a velocidad de 3 m/s. Boca registrable para su limpieza. Tapa dese","Levenshtein=2 contra código 990320849: 'Suministro y colocación de plénum de ventilación para conducto de 75 mm de impulsion o retorno, caudal de aire recomenda'",Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990320845,"Suministro y colocación de plénum de ventilación para conducto de 90 mm de impulsion o retorno, caudal de aire recomendado de 50 m3/h a velocidad de 3 m/s. Boca registrable para su limpieza. Tapa dese","Levenshtein=2 contra código 990320851: 'Suministro y colocación de plénum de ventilación para conducto de 90 mm de impulsion o retorno, caudal de aire recomenda'",Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323521: 'Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=3 contra código 990323523: 'Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=1 contra código 990323612: 'Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=1 contra código 990323621: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=3 contra código 990323622: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323614: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323615: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323500,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=1 contra código 990323523: 'Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=3 contra código 990323612: 'Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=3 contra código 990323621: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=1 contra código 990323622: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323614: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323615: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323521,"Suministro e instalación de sistema de distribución de 4 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323523,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323612: 'Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323523,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=3 contra código 990323621: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323523,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=1 contra código 990323622: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 90 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323523,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323614: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323523,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323615: 'Suministro e instalación de sistema de distribución de 10 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323523,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=4 contra código 990323631: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 75 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323523,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 90 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=2 contra código 990323632: 'Suministro e instalación de sistema de distribución de 12 conductos diámetro 90 mm y silenciador para recuperador de cal',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
similar_description,990323612,"Suministro e instalación de sistema de distribución de 6 conductos diámetro 75 mm y silenciador para recuperador de calor - Amortiguador acústico - Filtros finos, filtros de carbón activo - Cajas de d",Levenshtein=1 contra código 990323621: 'Suministro e instalación de sistema de distribución de 8 conductos diámetro 75 mm y silenciador para recuperador de calo',Verificar si son la misma partida con typos / puntuación distinta. Fusionar si procede.,warning
